id_registro,edad,genero,horas_diarias_juego,genero_juego,juego_principal,plataforma_juego,horas_sueno,calidad_sueno,frecuencia_interrupcion_sueno,rendimiento_academico_laboral,promedio_calificaciones,puntaje_productividad,estado_animo,frecuencia_cambios_humor,sintomas_abstinencia,perdida_otros_intereses,continuo_pese_problemas,fatiga_visual,dolor_espalda_cuello,cambio_peso_kg,horas_ejercicio_semanal,puntaje_aislamiento_social,horas_socializacion_presencial,gasto_mensual_juegos_usd,anos_jugando,nivel_riesgo_adiccion
GD0379,19,Femenino,5.9,RPG,Skyrim,Móvil,6.3,Regular,Rara vez,Promedio,3.28,10,Normal,Diariamente,NO,NO,NO,NO,SI,0.5,8.8,3,10.2,89.49,4,Bajo
GD0382,17,Femenino,8.9,Battle Royale,Warzone,Móvil,5.2,Insomnio,Siempre,Por debajo del promedio,2.43,,Irritable,Diariamente,SI,SI,SI,SI,NO,0.9,4.7,5,4.6,206.91,6,Severo
GD0384,21,Femenino,6.1,Juegos móviles,PUBG Mobile,PC,5.6,Mala,Siempre,Bueno,2.35,8,Normal,Diariamente,NO,SI,NO,NO,SI,0.9,8.2,4,10.7,143.21,6,Moderado
GD0386,19,Femenino,6.6,Juegos móviles,Clash of Clans,Consola,4,Mala,Nunca,Reprobando,3.2,6,Normal,Diariamente,SI,SI,NO,NO,SI,1,8.1,5,7.8,68.84,7,Alto
GD0387,19,Femenino,6.8,Battle Royale,Apex Legends,Móvil,5,Muy Mala,Rara vez,Reprobando,1.87,7,Enojado,Rara vez,SI,SI,NO,NO,SI,1.1,5.2,4,7.6,20.72,3,Alto
GD0389,19,Femenino,5.2,MOBA,Dota 2,Consola,5.1,Muy Mala,Frecuentemente,Reprobando,1.45,6,Normal,A veces,NO,NO,NO,SI,NO,1.7,6.9,2,10.8,148.41,9,Bajo
GD0390,22,Femenino,3.8,FPS,CS:GO,Consola,6,Regular,Aveces,Por debajo del promedio,3.83,4,Enojado,Rara vez,NO,NO,NO,NO,NO,1,6.7,1,10.6,48.79,8,Bajo
GD0391,14,Femenino,5.8,Strategy,StarCraft II,PC,5.9,Mala,Frecuentemente,Promedio,2.4,,Inquieto,A veces,NO,NO,NO,NO,SI,2.7,8.5,5,9.4,86.15,4,Bajo
GD0394,19,Femenino,5.9,Battle Royale,PUBG,Multi-plataforma,6.4,Regular,Rara vez,Por debajo del promedio,2.47,7,Inquieto,Frecuentemente,NO,SI,NO,SI,NO,0.9,5.3,5,6.5,120.38,7,Moderado
GD0395,26,Femenino,13.9,Juegos móviles,Clash of Clans,Consola,4.5,Mala,Frecuentemente,Deficiente,,5,Irritable,A veces,SI,SI,NO,SI,NO,2.9,4.9,10,0,247.18,13,Severo
GD0400,26,Femenino,8.2,Strategy,Civilization VI,Consola,3.9,Mala,Frecuentemente,Promedio,,1,Normal,Rara vez,SI,NO,NO,NO,SI,2.9,5.2,5,5.5,44.07,10,Moderado
GD0402,21,Femenino,1.2,MOBA,Dota 2,Móvil,7.2,Buena,Nunca,Excelente,3.52,5,Normal,Rara vez,NO,NO,NO,NO,NO,0.3,11.2,1,15.2,41.12,10,Bajo
GD0408,31,Femenino,3.6,MOBA,League of Legends,Móvil,6.3,Buena,Rara vez,Promedio,,2,Deprimido,Nunca,NO,NO,NO,NO,NO,0.3,8.2,1,12.4,23.15,5,Bajo
GD0409,17,Femenino,1.6,Battle Royale,PUBG,Consola,8.3,Buena,Rara vez,Excelente,1.48,,Ansioso,Diariamente,NO,NO,NO,NO,NO,0.1,7.1,1,11.9,7.58,6,Bajo
GD0410,35,Femenino,3.1,Battle Royale,Warzone,Móvil,7.1,Regular,Aveces,Promedio,,8,Emocionado,Rara vez,NO,NO,NO,NO,NO,1.1,7.1,2,9.1,45.22,15,Bajo
GD0411,22,Femenino,6,RPG,Cyberpunk 2077,Consola,6.4,Mala,Rara vez,Deficiente,2.99,9,Normal,A veces,NO,SI,NO,SI,NO,2.5,6.1,3,5.5,109.8,8,Moderado
GD0412,25,Femenino,10.3,Battle Royale,Apex Legends,Consola,4.8,Mala,Nunca,Promedio,,3,Eufórico,Nunca,SI,SI,SI,NO,SI,0.7,3.5,6,5.8,348.04,7,Severo
GD0414,19,Femenino,4.6,FPS,CS:GO,PC,6.5,Buena,Nunca,Promedio,2.46,1,Ansioso,Frecuentemente,NO,NO,NO,SI,NO,1.8,8.5,5,9.5,83.38,5,Bajo
GD0415,18,Femenino,7.3,Juegos móviles,Clash of Clans,Móvil,5.8,Mala,Siempre,Bueno,2.13,,Ansioso,Rara vez,NO,SI,NO,NO,SI,3.6,6.6,4,7.4,31.02,5,Moderado
GD0419,31,Femenino,7.7,RPG,Elden Ring,Multi-plataforma,3.4,Mala,Rara vez,Por debajo del promedio,,8,Ansioso,A veces,SI,SI,SI,SI,NO,2.8,6.4,5,3.2,38.14,1,Severo
GD0424,16,Femenino,4.7,MOBA,Mobile Legends,Multi-plataforma,5.7,Regular,Rara vez,Deficiente,1.93,,Irritable,Rara vez,NO,NO,NO,SI,NO,0.9,9.3,3,10.1,36.45,1,Bajo
GD0426,17,Femenino,10.2,MOBA,League of Legends,Móvil,5.3,Buena,Aveces,Deficiente,3.91,,Inquieto,Rara vez,NO,SI,SI,NO,NO,3,3.6,5,2.3,263.64,1,Severo
GD0429,26,Femenino,5.1,MMO,World of Warcraft,Móvil,5.9,Muy Mala,Siempre,Promedio,,6,Normal,Diariamente,NO,NO,NO,SI,NO,0.4,6.9,2,7.1,33.99,8,Bajo
GD0432,20,Femenino,3.9,Juegos móviles,Candy Crush,Consola,5.3,Buena,Rara vez,Promedio,3.17,7,Deprimido,Frecuentemente,NO,NO,NO,NO,NO,0.4,7.4,2,10.8,49.48,7,Bajo
GD0439,17,Femenino,3.9,Battle Royale,Fortnite,PC,6,Regular,Nunca,Bueno,1.67,,Inquieto,Diariamente,NO,NO,NO,NO,NO,0.1,6.1,2,12.5,34.03,7,Bajo
GD0440,32,Femenino,1,FPS,CS:GO,Móvil,7.4,Buena,Aveces,Por debajo del promedio,,9,Normal,Diariamente,NO,NO,NO,NO,NO,0.2,8,1,14.3,49.46,3,Bajo
GD0441,18,Femenino,4.6,Strategy,StarCraft II,Multi-plataforma,6.9,Regular,Aveces,Promedio,1.05,,Enojado,Nunca,NO,NO,NO,NO,NO,0.4,8.2,2,6.2,100.04,2,Bajo
GD0442,17,Femenino,5.8,Battle Royale,PUBG,PC,6.4,Regular,Siempre,Bueno,3.6,,Enojado,Frecuentemente,NO,NO,NO,SI,NO,3.6,6.4,4,7,87.25,5,Bajo
GD0445,25,Femenino,5.2,Battle Royale,Fortnite,Móvil,6,Regular,Siempre,Excelente,,4,Enojado,Nunca,NO,NO,NO,SI,NO,1.5,8.1,3,10.4,54.39,1,Bajo
GD0447,18,Femenino,1.6,RPG,Elden Ring,Móvil,7,Buena,Frecuentemente,Promedio,3.63,,Normal,Frecuentemente,NO,NO,NO,NO,NO,0.1,9.5,1,13,9.19,8,Bajo
GD0448,19,Femenino,2.1,MMO,Elder Scrolls Online,PC,8.9,Buena,Siempre,Bueno,1.32,10,Normal,Rara vez,NO,NO,NO,NO,NO,0.1,7.6,2,14.5,33.11,5,Bajo
GD0450,20,Femenino,4.1,MOBA,Mobile Legends,PC,6.9,Mala,Siempre,Excelente,2.52,4,Eufórico,Frecuentemente,NO,NO,NO,NO,NO,0,8.5,2,7.8,38.82,2,Bajo
GD0451,15,Femenino,9.5,MMO,Final Fantasy XIV,Multi-plataforma,3.8,Muy Mala,Rara vez,Por debajo del promedio,3.53,,Enojado,Rara vez,NO,SI,SI,SI,SI,1.5,3.7,5,5.8,229.59,1,Severo
GD0454,20,Femenino,6.2,Juegos móviles,Clash of Clans,Consola,5.3,Mala,Frecuentemente,Bueno,1.95,10,Eufórico,A veces,NO,SI,NO,SI,SI,1.1,8.4,4,7.8,47.33,3,Moderado
GD0463,21,Femenino,6,MMO,World of Warcraft,Móvil,5.3,Mala,Nunca,Bueno,1.82,1,Enojado,Nunca,NO,SI,NO,SI,NO,0.9,7.3,5,5,27.43,7,Moderado
GD0464,25,Femenino,12.5,MOBA,Mobile Legends,Móvil,3.5,Regular,Nunca,Reprobando,,6,Inquieto,Diariamente,SI,NO,NO,SI,NO,1.1,3.8,10,0,120.1,1,Alto
GD0465,14,Femenino,11.7,MMO,Elder Scrolls Online,Multi-plataforma,4.3,Mala,Aveces,Reprobando,3.22,,Deprimido,Nunca,NO,SI,SI,SI,SI,1.5,2.5,7,0,339.9,4,Severo
GD0467,17,Femenino,6,MOBA,Dota 2,Multi-plataforma,5.2,Muy Mala,Aveces,Promedio,1.28,,Inquieto,Diariamente,NO,SI,NO,SI,SI,1,5.5,2,7.4,32.23,2,Moderado
GD0471,27,Femenino,0.7,MMO,Final Fantasy XIV,Móvil,8.4,Mala,Siempre,Bueno,,10,Eufórico,Diariamente,NO,NO,NO,NO,NO,0.3,8.3,1,16.5,16.4,12,Bajo
GD0476,21,Femenino,4.8,MOBA,Dota 2,Multi-plataforma,5.1,Mala,Aveces,Bueno,1.4,4,Eufórico,Diariamente,NO,NO,NO,SI,NO,2.5,9,3,8.2,46.29,4,Bajo
GD0480,17,Femenino,7.3,MOBA,League of Legends,PC,3.4,Muy Mala,Nunca,Promedio,3.36,,Inquieto,Rara vez,SI,SI,NO,SI,SI,1.5,5.5,2,4.6,95.15,7,Alto
GD0481,22,Femenino,9.9,RPG,Skyrim,Móvil,3.7,Mala,Aveces,Por debajo del promedio,1.67,6,Irritable,A veces,SI,NO,SI,SI,SI,0.6,4.6,6,5.9,426.59,6,Severo
GD0488,14,Femenino,3.9,MMO,Final Fantasy XIV,Multi-plataforma,5.2,Mala,Rara vez,Bueno,3.55,,Ansioso,Nunca,NO,NO,NO,NO,NO,1.3,9.3,5,8,38.56,2,Bajo
GD0489,16,Femenino,5.5,Battle Royale,PUBG,Multi-plataforma,6.6,Mala,Nunca,Promedio,3.16,,Deprimido,Diariamente,NO,SI,NO,SI,SI,2.4,7.3,3,5.3,128.87,4,Moderado
GD0491,20,Femenino,5.7,Battle Royale,Fortnite,Móvil,5.5,Buena,Siempre,Bueno,1.53,5,Enojado,Rara vez,NO,NO,NO,NO,SI,1.9,5.4,5,4.9,75.19,8,Bajo
GD0493,19,Femenino,5.8,MOBA,League of Legends,PC,6.8,Buena,Nunca,Promedio,2.43,6,Eufórico,Diariamente,NO,SI,NO,NO,NO,2.6,6.9,4,10.4,70.73,2,Moderado
GD0495,20,Femenino,3.8,Battle Royale,PUBG,Consola,6,Regular,Aveces,Excelente,3.16,2,Irritable,Frecuentemente,NO,NO,NO,NO,NO,2.2,9.2,4,8.7,9.48,1,Bajo
GD0500,20,Femenino,7.1,Battle Royale,Fortnite,Consola,4.7,Mala,Aveces,Por debajo del promedio,1.02,3,Irritable,A veces,SI,SI,NO,SI,SI,3.6,5.5,3,5,142.02,3,Alto
GD0502,23,Femenino,4.1,RPG,Skyrim,Móvil,5.6,Mala,Rara vez,Por debajo del promedio,,1,Normal,Rara vez,NO,NO,NO,NO,NO,2.5,6.6,2,11.9,34.53,8,Bajo
GD0505,27,Femenino,0.8,RPG,Cyberpunk 2077,Multi-plataforma,8.2,Buena,Frecuentemente,Bueno,,6,Ansioso,Frecuentemente,NO,NO,NO,NO,NO,0.2,10.5,1,14.3,27.33,17,Bajo
GD0506,18,Femenino,9.4,MMO,Elder Scrolls Online,Móvil,3.6,Muy Mala,Rara vez,Por debajo del promedio,3.04,,Irritable,Diariamente,NO,NO,SI,NO,NO,4.7,7.1,4,5.3,470.19,2,Alto
GD0512,19,Femenino,6.7,Juegos móviles,PUBG Mobile,Consola,3.1,Regular,Nunca,Por debajo del promedio,2.79,9,Eufórico,Nunca,NO,NO,NO,NO,SI,1.2,8.2,2,5,103.77,5,Bajo
GD0514,24,Femenino,3.7,Strategy,Civilization VI,Móvil,6.1,Buena,Frecuentemente,Bueno,,1,Inquieto,Nunca,NO,NO,NO,NO,NO,2.1,6.1,3,10.8,7.4,3,Bajo
GD0523,21,Femenino,9.1,MOBA,League of Legends,Móvil,4.7,Mala,Nunca,Deficiente,3.33,5,Ansioso,Frecuentemente,NO,NO,SI,NO,SI,0.3,4.3,6,4.1,479.29,7,Alto
GD0530,20,Femenino,10.1,MOBA,Dota 2,Móvil,5.7,Muy Mala,Siempre,Por debajo del promedio,2.09,1,Deprimido,Frecuentemente,SI,SI,SI,SI,SI,8.9,3.6,8,5.2,350.42,6,Severo
GD0531,20,Femenino,5.8,Juegos móviles,Genshin Impact,Consola,6.3,Muy Mala,Rara vez,Promedio,1.63,3,Eufórico,Diariamente,NO,NO,NO,NO,NO,2.4,8.8,5,7.8,124.29,7,Bajo
GD0536,17,Femenino,1.9,MMO,Final Fantasy XIV,PC,7.1,Buena,Siempre,Promedio,1.78,,Retraído,Rara vez,NO,NO,NO,NO,NO,0.1,10.9,1,11.5,23.78,6,Bajo
GD0544,22,Femenino,6.7,Juegos móviles,Candy Crush,PC,4.6,Mala,Rara vez,Deficiente,1.18,5,Enojado,A veces,SI,SI,NO,SI,SI,1.4,6.5,5,6.5,37,4,Alto
GD0550,21,Femenino,7.2,Battle Royale,Fortnite,PC,5.9,Regular,Nunca,Excelente,1.41,2,Irritable,A veces,SI,NO,NO,SI,SI,0.6,6.2,4,5,99.01,9,Moderado
GD0553,19,Femenino,2.3,MOBA,Mobile Legends,Consola,8.9,Buena,Frecuentemente,Bueno,3.61,10,Normal,Nunca,NO,NO,NO,NO,NO,0.6,9.8,2,14.5,39.46,5,Bajo
GD0555,19,Femenino,4.6,RPG,Cyberpunk 2077,Consola,6.1,Buena,Siempre,Promedio,3.24,2,Enojado,Rara vez,NO,NO,NO,SI,NO,1.3,7.3,5,11.3,70.56,5,Bajo
GD0562,20,Femenino,1.7,Juegos móviles,Clash of Clans,Consola,8.7,Buena,Rara vez,Excelente,3.88,7,Normal,Diariamente,NO,NO,NO,NO,NO,0.1,7.6,1,10.4,2.01,3,Bajo
GD0567,25,Femenino,5.3,MOBA,Mobile Legends,Móvil,6,Mala,Nunca,Por debajo del promedio,,3,Deprimido,Diariamente,NO,NO,NO,SI,NO,0.6,8.8,2,6.3,123.9,6,Bajo
GD0571,28,Femenino,7.8,Battle Royale,Warzone,Móvil,4.7,Regular,Rara vez,Deficiente,,1,Ansioso,Rara vez,SI,SI,SI,SI,SI,0.8,4,6,2.7,88.65,14,Severo
GD0577,19,Femenino,1.3,RPG,Skyrim,Consola,9,Buena,Nunca,Excelente,3.45,10,Emocionado,A veces,NO,NO,NO,NO,NO,0.1,11.3,1,11.5,25.35,5,Bajo
GD0578,17,Femenino,7.1,Battle Royale,Warzone,PC,5.2,Muy Mala,Aveces,Por debajo del promedio,3.36,,Irritable,Frecuentemente,SI,NO,NO,NO,SI,2.8,4.5,5,9.2,86.64,5,Moderado
GD0579,21,Femenino,2.7,Juegos móviles,Clash of Clans,Consola,8.2,Buena,Siempre,Excelente,3.63,9,Normal,Frecuentemente,NO,NO,NO,NO,NO,0.4,10,2,13.2,34.35,3,Bajo
GD0581,18,Femenino,6.4,Battle Royale,Fortnite,Móvil,6.2,Muy Mala,Frecuentemente,Por debajo del promedio,1.23,,Ansioso,Diariamente,NO,SI,NO,SI,SI,0.9,5.9,4,10.7,34.21,4,Moderado
GD0582,17,Femenino,8.3,FPS,Call of Duty,Consola,3.7,Mala,Frecuentemente,Bueno,3.97,,Enojado,Rara vez,SI,SI,SI,SI,SI,0.2,4,6,6.7,40.05,5,Severo
GD0584,17,Femenino,7.8,RPG,Skyrim,Móvil,5.7,Mala,Nunca,Promedio,2.75,,Enojado,Rara vez,SI,SI,NO,SI,NO,2.2,5.5,4,5.7,80.16,4,Alto
GD0587,19,Femenino,8.4,RPG,Skyrim,PC,3.8,Mala,Aveces,Deficiente,1.69,7,Inquieto,Frecuentemente,NO,SI,NO,SI,SI,1.9,5.4,6,2.6,94.45,9,Moderado
GD0589,24,Femenino,8.4,Battle Royale,Fortnite,Consola,5.2,Muy Mala,Rara vez,Deficiente,,4,Irritable,Rara vez,SI,SI,NO,NO,SI,0.7,5.5,5,4.5,144.35,14,Alto
GD0591,18,Femenino,6.3,MMO,World of Warcraft,PC,5.2,Regular,Rara vez,Bueno,1.96,,Emocionado,Diariamente,NO,SI,NO,SI,SI,1.8,6.5,3,7.4,29.37,3,Moderado
GD0593,17,Femenino,1.5,MMO,Elder Scrolls Online,PC,9,Buena,Siempre,Bueno,3.35,,Inquieto,A veces,NO,NO,NO,NO,NO,0.3,8,1,12.2,4.91,2,Bajo
GD0595,21,Femenino,6.5,MMO,World of Warcraft,Multi-plataforma,6.9,Regular,Nunca,Por debajo del promedio,1.4,9,Irritable,Frecuentemente,NO,SI,NO,SI,SI,1.3,5.9,3,9.9,119.21,2,Moderado
GD0596,27,Femenino,3.9,MOBA,Mobile Legends,Multi-plataforma,5.6,Regular,Rara vez,Por debajo del promedio,,2,Ansioso,Nunca,NO,NO,NO,NO,NO,1.1,8.8,2,10.7,37.27,15,Bajo
GD0598,16,Femenino,9.3,Strategy,Civilization VI,Multi-plataforma,4.7,Mala,Frecuentemente,Por debajo del promedio,3.22,,Normal,Diariamente,NO,SI,SI,SI,NO,3,6.9,5,6.7,69.4,6,Severo
GD0600,21,Femenino,5.8,Battle Royale,Fortnite,Móvil,5.3,Regular,Frecuentemente,Promedio,3.36,3,Eufórico,Nunca,NO,NO,NO,NO,SI,0.8,6.9,4,7.4,88.08,7,Bajo
GD0603,14,Femenino,7.4,Strategy,Civilization VI,Móvil,3.4,Muy Mala,Siempre,Por debajo del promedio,2.18,,Retraído,Frecuentemente,NO,SI,NO,SI,SI,0,7.1,4,8.7,87.18,3,Moderado
GD0606,22,Femenino,11.4,Battle Royale,Warzone,Multi-plataforma,4.3,Mala,Nunca,Deficiente,1.95,5,Inquieto,Diariamente,SI,SI,NO,NO,SI,2.1,4.5,6,3.7,90.88,11,Severo
GD0610,26,Femenino,4.8,Battle Royale,Apex Legends,Multi-plataforma,6.7,Buena,Aveces,Por debajo del promedio,,2,Ansioso,Rara vez,NO,NO,NO,SI,NO,2.7,8.1,3,9.3,75.94,13,Bajo
GD0615,18,Femenino,3.7,FPS,Overwatch,Multi-plataforma,5,Mala,Frecuentemente,Por debajo del promedio,3.55,,Eufórico,A veces,NO,NO,NO,NO,NO,2,9.4,2,11.5,46.28,6,Bajo
GD0616,18,Femenino,4.7,Battle Royale,Warzone,Móvil,6,Buena,Siempre,Promedio,2.82,,Inquieto,Frecuentemente,NO,NO,NO,SI,NO,0.1,6.6,2,6.6,127.9,4,Bajo
GD0622,15,Femenino,7,Juegos móviles,Clash of Clans,Multi-plataforma,4.7,Mala,Frecuentemente,Deficiente,3.52,,Ansioso,Diariamente,NO,NO,NO,SI,NO,0.8,5.9,6,7.6,54.93,5,Bajo
GD0623,27,Femenino,1.6,FPS,Call of Duty,Multi-plataforma,7.5,Regular,Nunca,Promedio,,9,Normal,Nunca,NO,NO,NO,NO,NO,0.2,9,2,15.5,24.49,11,Bajo
GD0627,22,Femenino,4.8,Strategy,Age of Empires,Multi-plataforma,6,Regular,Rara vez,Bueno,1.74,8,Irritable,Frecuentemente,NO,NO,NO,SI,NO,0.9,7.5,4,7.9,19.11,12,Bajo
GD0629,21,Femenino,3.6,FPS,Overwatch,Móvil,5.4,Buena,Frecuentemente,Bueno,3.09,3,Retraído,Nunca,NO,NO,NO,NO,NO,1.9,6.1,3,8,40.97,11,Bajo
GD0630,27,Femenino,12,Battle Royale,Apex Legends,Consola,5.2,Muy Mala,Siempre,Promedio,,4,Inquieto,A veces,SI,NO,SI,SI,SI,3.2,4.9,9,0,348.26,16,Severo
GD0631,16,Femenino,5.4,FPS,CS:GO,Consola,5.8,Mala,Siempre,Deficiente,2.81,,Irritable,Diariamente,NO,NO,NO,NO,NO,0.4,8.3,2,6,34.87,4,Bajo
GD0635,16,Femenino,6.2,MOBA,Mobile Legends,Multi-plataforma,5.8,Mala,Aveces,Bueno,3.53,,Inquieto,Rara vez,NO,SI,NO,NO,SI,1.2,5.4,4,8.7,57.17,2,Moderado
GD0640,14,Femenino,3.1,MOBA,Dota 2,Móvil,7,Buena,Frecuentemente,Excelente,2.8,,Normal,Diariamente,NO,NO,NO,NO,NO,1.5,8.4,1,13.4,37.55,1,Bajo
GD0641,25,Femenino,7.2,Strategy,Civilization VI,Consola,4.4,Regular,Siempre,Por debajo del promedio,,1,Irritable,Nunca,SI,SI,NO,SI,NO,1.4,7.3,4,6.8,135.46,5,Alto
GD0644,28,Femenino,5.9,RPG,Skyrim,Móvil,6.6,Buena,Rara vez,Excelente,,3,Ansioso,Rara vez,NO,SI,NO,SI,NO,0,5.6,3,10.3,97.31,5,Moderado
GD0647,17,Femenino,4.6,MOBA,Dota 2,Multi-plataforma,6,Regular,Rara vez,Promedio,2.23,,Irritable,Rara vez,NO,NO,NO,SI,NO,1.3,8.1,4,10.5,20.94,6,Bajo
GD0648,16,Femenino,5.2,Strategy,StarCraft II,PC,6.3,Regular,Frecuentemente,Bueno,2.22,,Irritable,A veces,NO,NO,NO,SI,NO,3.2,8.9,2,9.1,10.52,5,Bajo
GD0649,30,Femenino,5.2,MMO,Final Fantasy XIV,PC,6.5,Buena,Frecuentemente,Bueno,,9,Irritable,A veces,NO,NO,NO,SI,NO,1.8,8.5,4,8.3,126.54,18,Bajo
GD0651,16,Femenino,5,MMO,World of Warcraft,Consola,5.9,Mala,Nunca,Deficiente,2.26,,Normal,A veces,NO,NO,NO,SI,NO,2.1,5.5,3,10.4,145.08,4,Bajo
GD0654,22,Femenino,6.4,Battle Royale,Warzone,Multi-plataforma,5.4,Mala,Rara vez,Promedio,3.24,4,Irritable,Nunca,NO,SI,NO,SI,NO,0.3,6.1,2,9.5,145.93,1,Moderado
GD0655,20,Femenino,3.3,Juegos móviles,PUBG Mobile,Móvil,8.3,Buena,Aveces,Excelente,2.74,3,Normal,Diariamente,NO,NO,NO,NO,NO,1.2,9.1,1,10.7,13.68,6,Bajo
GD0656,16,Femenino,9.3,Strategy,StarCraft II,Multi-plataforma,3.1,Regular,Siempre,Por debajo del promedio,1.82,,Irritable,A veces,NO,SI,SI,NO,SI,0.5,3.7,6,4.5,90.17,4,Severo
GD0657,20,Femenino,6.3,MMO,Final Fantasy XIV,Móvil,6.2,Mala,Rara vez,Promedio,2.54,5,Normal,Rara vez,NO,NO,NO,NO,SI,3.1,8.5,6,9.5,80.72,6,Bajo
GD0660,20,Femenino,5.3,MMO,World of Warcraft,Consola,6.8,Regular,Nunca,Deficiente,3.93,2,Irritable,Diariamente,NO,NO,NO,SI,NO,0.4,9,2,7.1,128.13,8,Bajo
GD0662,22,Femenino,1.8,Strategy,Age of Empires,Multi-plataforma,8,Buena,Rara vez,Excelente,3.17,10,Inquieto,Frecuentemente,NO,NO,NO,NO,NO,0.2,8.9,2,14.2,40.78,6,Bajo
GD0665,33,Femenino,3.7,Battle Royale,Fortnite,Consola,6.5,Mala,Nunca,Promedio,,10,Deprimido,A veces,NO,NO,NO,NO,NO,0.1,9.3,3,11.5,23.14,14,Bajo
GD0666,18,Femenino,1.5,RPG,Elden Ring,PC,7.1,Regular,Rara vez,Bueno,1.91,,Retraído,Rara vez,NO,NO,NO,NO,NO,0.7,8.1,1,11.9,0.1,7,Bajo
GD0677,16,Femenino,6.5,Juegos móviles,PUBG Mobile,PC,5.6,Insomnio,Siempre,Por debajo del promedio,1.86,,Eufórico,Nunca,SI,NO,NO,SI,SI,2.3,7.1,4,5.9,83.36,2,Moderado
GD0678,18,Femenino,8,RPG,Cyberpunk 2077,Móvil,3.2,Mala,Frecuentemente,Por debajo del promedio,3.11,,Retraído,Diariamente,SI,SI,NO,SI,NO,4.8,5.9,6,3.6,41.3,7,Alto
GD0680,15,Femenino,6.4,Juegos móviles,Clash of Clans,PC,5.7,Mala,Frecuentemente,Promedio,1.46,,Inquieto,Diariamente,NO,NO,NO,NO,SI,0.9,5.1,5,5.5,84.7,2,Bajo
GD0683,17,Femenino,3.7,RPG,Skyrim,PC,5.6,Muy Mala,Frecuentemente,Promedio,1.27,,Enojado,Frecuentemente,NO,NO,NO,NO,NO,0.7,9.7,3,10.9,23.73,1,Bajo
GD0684,20,Femenino,2,MOBA,Dota 2,Móvil,7.9,Buena,Siempre,Promedio,3.82,4,Normal,Rara vez,NO,NO,NO,NO,NO,0.7,10.4,2,12.2,10.61,10,Bajo
GD0685,23,Femenino,9.7,FPS,Call of Duty,Multi-plataforma,5.7,Muy Mala,Siempre,Por debajo del promedio,,3,Normal,A veces,NO,NO,SI,SI,NO,1,3.2,6,3.1,118.63,11,Alto
GD0686,15,Femenino,4.3,Juegos móviles,Clash of Clans,Multi-plataforma,5,Mala,Nunca,Deficiente,3.12,,Enojado,Rara vez,NO,NO,NO,NO,NO,0.4,7.6,4,8.6,8.15,2,Bajo
GD0688,19,Femenino,12.3,FPS,Valorant,PC,3.5,Regular,Aveces,Deficiente,2.55,2,Inquieto,Nunca,SI,SI,NO,NO,SI,1.6,4.4,9,1.6,413.29,9,Severo
GD0699,15,Femenino,5,Strategy,Civilization VI,PC,6.4,Buena,Siempre,Bueno,1.54,,Normal,Frecuentemente,NO,NO,NO,SI,NO,0.3,5.8,2,11.5,10.19,2,Bajo
GD0702,19,Femenino,8.5,MOBA,Dota 2,Móvil,3.3,Mala,Aveces,Excelente,1.77,8,Deprimido,Nunca,SI,SI,NO,SI,SI,1.2,4.7,5,3.8,354.28,6,Severo
GD0703,25,Femenino,4.8,MOBA,Mobile Legends,Móvil,6,Regular,Rara vez,Por debajo del promedio,,3,Irritable,A veces,NO,NO,NO,SI,NO,1.5,9.2,2,9.7,35.97,13,Bajo
GD0707,17,Femenino,5.8,Battle Royale,Warzone,Multi-plataforma,6.8,Muy Mala,Siempre,Por debajo del promedio,2.7,,Enojado,Rara vez,NO,SI,NO,SI,NO,0.3,5.2,3,9.5,123.39,3,Moderado
GD0708,17,Femenino,8.5,Juegos móviles,PUBG Mobile,Multi-plataforma,3.9,Mala,Siempre,Deficiente,1.42,,Inquieto,Diariamente,SI,SI,NO,NO,NO,1.5,3.6,8,3.8,200.6,4,Severo
GD0710,24,Femenino,3.7,MOBA,Mobile Legends,Móvil,5.5,Regular,Siempre,Bueno,,9,Normal,Diariamente,NO,NO,NO,NO,NO,1,7.7,1,9.7,30.53,7,Bajo
GD0712,28,Femenino,6.4,RPG,Cyberpunk 2077,Móvil,6.5,Muy Mala,Aveces,Por debajo del promedio,,1,Irritable,Diariamente,NO,SI,NO,NO,SI,1.5,8.2,4,8.9,86.39,3,Moderado
GD0720,23,Femenino,13,RPG,Elden Ring,Consola,5.2,Insomnio,Aveces,Por debajo del promedio,,7,Ansioso,Diariamente,SI,SI,NO,SI,NO,6.4,5.1,8,0,239.25,6,Severo
GD0724,17,Femenino,5.1,Juegos móviles,Clash of Clans,PC,7,Buena,Frecuentemente,Por debajo del promedio,3.96,,Normal,A veces,NO,NO,NO,SI,NO,0.3,5.8,1,10.6,97.92,6,Bajo
GD0726,18,Femenino,2.1,Battle Royale,Fortnite,Multi-plataforma,8.6,Buena,Aveces,Promedio,1.86,,Normal,Diariamente,NO,NO,NO,NO,NO,0.7,9.3,1,9.8,49.39,5,Bajo
GD0727,17,Femenino,6.2,Juegos móviles,Genshin Impact,Móvil,5.7,Regular,Aveces,Por debajo del promedio,2.22,,Enojado,Frecuentemente,NO,SI,NO,SI,SI,2.2,5.2,4,5.2,37,6,Moderado
GD0731,17,Femenino,3.2,Battle Royale,Fortnite,PC,7.2,Buena,Nunca,Deficiente,3.6,,Eufórico,A veces,NO,NO,NO,NO,NO,0.9,7.9,1,13.8,12.37,3,Bajo
